country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","26-02-2026 19:00:00",17.72,83.3,PM2.5,45,197,98
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","26-02-2026 19:00:00",17.72,83.3,PM10,80,413,202
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","26-02-2026 19:00:00",27.103358,93.679645,NH3,1,1,1
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","26-02-2026 19:00:00",27.103358,93.679645,SO2,10,11,10
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","26-02-2026 19:00:00",26.071318,91.87488,PM10,67,286,111
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","26-02-2026 19:00:00",26.071318,91.87488,NO2,5,10,7
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","26-02-2026 19:00:00",26.10887,91.589544,CO,17,143,30
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","26-02-2026 19:00:00",25.42742023,86.13886079,PM2.5,35,193,75
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","26-02-2026 19:00:00",25.42742023,86.13886079,NH3,4,6,5
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","26-02-2026 19:00:00",25.42742023,86.13886079,CO,24,30,27
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","26-02-2026 19:00:00",26.80365,84.51954,PM2.5,45,180,74
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","26-02-2026 19:00:00",26.80365,84.51954,OZONE,22,23,22
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","26-02-2026 19:00:00",25.265194,87.012947,NH3,6,7,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","26-02-2026 19:00:00",25.265194,87.012947,CO,79,94,87
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","26-02-2026 19:00:00",25.265194,87.012947,OZONE,14,29,24
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","26-02-2026 19:00:00",25.204762,85.514960,PM2.5,NA,NA,NA
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","26-02-2026 19:00:00",25.204762,85.514960,NH3,3,4,3
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","26-02-2026 19:00:00",26.446912,91.439057,NO2,12,16,14
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","26-02-2026 19:00:00",26.446912,91.439057,SO2,4,9,8
India,Assam,Silchar,"Tarapur, Silchar - PCBA","26-02-2026 19:00:00",24.82827,92.79525,SO2,4,8,6
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","26-02-2026 19:00:00",26.987634,94.636574,NH3,5,13,8
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","26-02-2026 19:00:00",26.987634,94.636574,CO,1,100,11
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-02-2026 19:00:00",26.146529,87.454184,PM10,28,100,70
